iter	Passed	Remaining
0	139	139308
1	140	69873
2	140	46724
3	141	35155
4	141	28223
5	142	23598
6	143	20291
7	143	17813
8	144	15882
9	144	14351
10	146	13151
11	147	12173
12	149	11359
13	151	10636
14	152	10023
15	154	9484
16	155	9019
17	157	8569
18	157	8157
19	158	7783
20	159	7452
21	160	7151
22	162	6917
23	163	6660
24	164	6420
25	165	6197
26	165	5981
27	166	5779
28	166	5591
29	167	5423
30	168	5265
31	169	5116
32	169	4977
33	170	4842
34	171	4716
35	171	4598
36	172	4486
37	173	4379
38	173	4278
39	174	4183
40	174	4091
41	175	4004
42	176	3921
43	176	3841
44	177	3765
45	178	3692
46	178	3622
47	179	3554
48	179	3489
49	180	3429
50	181	3372
51	181	3315
52	182	3260
53	183	3206
54	183	3153
55	184	3104
56	184	3055
57	185	3007
58	185	2961
59	186	2918
60	186	2877
61	187	2837
62	188	2798
63	188	2761
64	189	2724
65	189	2687
66	190	2651
67	190	2616
68	191	2583
69	192	2550
70	192	2519
71	193	2489
72	193	2459
73	194	2430
74	194	2402
75	195	2374
76	195	2347
77	196	2320
78	196	2295
79	197	2269
80	197	2245
81	198	2221
82	198	2195
83	199	2174
84	199	2152
85	200	2130
86	201	2109
87	201	2088
88	202	2068
89	202	2048
90	203	2029
91	203	2009
92	204	1990
93	204	1972
94	205	1955
95	205	1937
96	206	1920
97	206	1903
98	207	1887
99	207	1871
100	208	1858
101	209	1843
102	209	1828
103	210	1813
104	211	1799
105	211	1785
106	212	1772
107	212	1758
108	213	1744
109	213	1731
110	214	1717
111	214	1704
112	215	1691
113	216	1679
114	216	1666
115	217	1654
116	217	1642
117	218	1631
118	218	1620
119	219	1609
120	220	1598
121	220	1587
122	221	1576
123	221	1566
124	222	1556
125	222	1546
126	223	1536
127	224	1527
128	224	1518
129	225	1510
130	226	1501
131	227	1492
132	227	1483
133	228	1474
134	228	1465
135	229	1455
136	229	1447
137	230	1439
138	231	1431
139	231	1423
140	232	1414
141	232	1407
142	233	1399
143	234	1391
144	234	1383
145	235	1375
146	237	1375
147	237	1368
148	238	1361
149	238	1354
150	239	1346
151	240	1340
152	240	1333
153	241	1325
154	241	1318
155	242	1312
156	243	1305
157	243	1299
158	244	1293
159	245	1286
160	245	1279
161	246	1272
162	246	1266
163	247	1260
164	247	1254
165	248	1248
166	249	1243
167	249	1237
168	250	1230
169	250	1225
170	251	1219
171	252	1213
172	252	1207
173	253	1201
174	253	1195
175	254	1190
176	254	1185
177	255	1179
178	255	1174
179	256	1168
180	257	1163
181	257	1157
182	258	1152
183	258	1147
184	259	1142
185	259	1137
186	260	1132
187	261	1128
188	261	1123
189	262	1119
190	263	1114
191	263	1109
192	264	1105
193	265	1101
194	265	1096
195	266	1091
196	266	1087
197	267	1082
198	267	1078
199	268	1074
200	269	1069
201	269	1065
202	270	1060
203	270	1056
204	271	1051
205	271	1047
206	272	1043
207	273	1039
208	273	1035
209	274	1031
210	274	1027
211	275	1023
212	275	1019
213	276	1015
214	277	1011
215	277	1007
216	278	1003
217	278	1000
218	279	997
219	280	995
220	281	991
221	281	987
222	282	983
223	282	979
224	283	976
225	284	972
226	284	969
227	285	966
228	286	963
229	286	959
230	287	956
231	287	952
232	288	949
233	288	945
234	289	942
235	290	939
236	290	936
237	291	932
238	291	929
239	292	927
240	293	924
241	293	920
242	294	917
243	295	914
244	295	910
245	296	907
246	296	904
247	297	901
248	297	898
249	298	896
250	299	893
251	300	890
252	300	887
253	301	884
254	301	881
255	302	878
256	302	875
257	303	872
258	303	869
259	304	866
260	305	864
261	306	862
262	306	860
263	307	857
264	308	855
265	309	852
266	309	850
267	310	847
268	311	847
269	312	845
270	313	842
271	313	839
272	314	837
273	314	834
274	315	831
275	315	828
276	316	826
277	317	824
278	318	822
279	318	819
280	319	817
281	319	814
282	320	812
283	321	809
284	321	807
285	322	804
286	323	802
287	324	801
288	324	799
289	325	797
290	326	794
291	326	792
292	327	789
293	327	787
294	328	784
295	328	782
296	329	780
297	330	777
298	330	775
299	331	773
300	331	770
301	332	768
302	332	765
303	333	763
304	334	761
305	334	759
306	335	757
307	336	754
308	336	752
309	337	750
310	337	748
311	338	745
312	338	743
313	339	741
314	339	739
315	340	736
316	340	734
317	341	732
318	342	730
319	343	728
320	343	727
321	344	724
322	344	722
323	345	720
324	345	718
325	346	716
326	346	714
327	347	712
328	348	710
329	348	708
330	349	706
331	350	704
332	350	702
333	351	699
334	351	697
335	352	695
336	352	693
337	352	691
338	353	689
339	354	687
340	354	685
341	355	683
342	355	681
343	356	679
344	356	677
345	357	675
346	357	673
347	358	670
348	358	668
349	359	666
350	359	664
351	360	663
352	361	661
353	361	659
354	362	657
355	362	655
356	363	653
357	363	651
358	364	650
359	364	648
360	365	646
361	365	644
362	366	642
363	367	641
364	367	639
365	368	637
366	368	635
367	369	634
368	369	632
